"","grupoPol","fechaPresentacion","congreso","legislatura","codigo","proponente","grupoParlamentario","Titulo","sumilla","numeroLey","tituloLey","estadoFinal","estadoFinalFecha","comisiones","Lima","CantiCongre","CantiAdh","congresoRec","Semanas"
"9041","",2011-07-06,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4899,"Poder Judicial","","LEY QUE MODIFICA EL ARTICULO 162 DEL CODIGO PENAL, REFERIDO A LA INTERCEPTACION, INTERFERENCIA Y DIFUSION DE COMUNICACIONES PRIVADAS","Se propone tipificar de manera adecuada los delitos de interceptacion, interferencia y difusion de comunicaciones privada, previstos en el articulo 162 del Codigo Penal","","","Decretado a...",2011-06-07,"Justicia y Derechos Humanos","",NA,0,"2006-2011",-4.14285714285714
"9122","Multipartidario",2011-05-05,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4818,"Congreso","Grupo Parlamentario Nacionalista","LEY QUE MODIFICA EL ARTICULO 3 DE LA LEY 28583, LEY DE REACTIVACION Y PROMOCION DE LA MARINA MERCANTE NACIONAL; Y EL ARTICULO 8 DE LA LEY 29475, LEY QUE MODIFICA LA LEY DE REACTIVACION Y PROMOCION DE LA MARINA MERCANTE NACIONAL","Se propone modificar el articulo 3 de la Ley 28583, Ley de Reactivacion y Promocion de la Marina Mercante Nacional, incluyendo dentro del ambito de aplicacion al cabotaje o el transporte en bahia y demas areas acuaticas navegables del territorio peruano e internacional; y, el articulo 8 de la Ley 29475, Ley que modifica la Ley de Reactivacion y Promocion de la Marina Mercante Nacional, sobre el regimen de importacion de naves y tributario.","","","Dictamen",2011-01-07,"Defensa Nacional  Orden Interno  Desarrollo Alternativo y Lucha contra la Drogas,Transportes y Comunicaciones","SI",7,0,"2006-2011",-16.8571428571429
"9138","Union por el Peru",2011-04-28,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4802,"Congreso","Grupo Parlamentario Nacionalista","LEY QUE MODIFICA LOS ARTICULOS 1 DE LAS LEYES 23630 Y 23871, ESTABLECIENDO EL 15% POR CANON Y 5% POR SOBRECANON A LOS HIDROCARBUROS A FAVOR DE LOS DEPARTAMENTO DE PIURA Y TUMBES","Se propone modificar los articulos 1 de las Leyes 23630 y 23871, estableciendo el 15% de la renta que producen la explotacion del petroleo y gas en dichos Departamentos, hasta la extincion total de tales recursos como participacion de la zona que integran los Departamentos de Piura y Tumbes, y elevando en 5% la participacion sobre la renta que produce la explotacion del petroleo y gas.","Ley Nº: 29693","LEY QUE HOMOLOGA EL CANON Y SOBRECANON POR LA EXPLOTACIoN DE PETRoLEO Y GAS EN LOS DEPARTAMENTOS DE PIURA, TUMBES, LORETO, UCAYALI Y EN LA PROVINCIA DE PUERTO INCA DEL DEPARTAMENTO DE HUaNUCO AL CANON A LA EXPLOTACIoN DEL GAS NATURAL Y CONDENSADOS","Publicado El Peruano",2011-02-06,"Economia  Banca  Finanzas e Inteligencia Financiera,Energia y Minas,Presupuesto y Cuenta General de la Republica","SI",6,0,"2006-2011",-11.5714285714286
"9195","Multipartidario",2011-03-17,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4745,"Congreso","Multipartidario","LEY QUE PROTEGE A LOS CONSUMIDORES DEL DIRECCIONAMIENTO EN LA COMPRA DE TEXTOS ESCOLARES","Se propone establecer normas de proteccion de los consumidores frente al direccionamiento en la compra de textos escolares, estableciendo un Sistema Nacional de Evaluacion, Acreditacion y Certificacion de la Calidad de los textos escolares.","Ley Nº: 29694","LEY QUE PROTEGE A LOS CONSUMIDORES DE LAS PRaCTICAS ABUSIVAS EN LA SELECCIoN O ADQUISICIoN DE TEXTOS ESCOLARES","Publicado El Peruano",2011-03-06,"Educacion  Ciencia  Tecnologia  Cultura  Patrimonio Cultural  Juventud y Deportes,Defensa del Consumidor y Organismos Reguladores de los Servicios Publicos","SI",9,0,"2006-2011",-1.57142857142857
"9259","",2011-02-25,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4681,"Poder Ejecutivo","","SISTEMA ELECTRICO DE TRANSPORTE MASIVO/ PRORROGA BENEF. TRIBUTARIOS A ...","Prorroga la vigencia de beneficios tributarios, establecidos por la Ley N° 28253, Ley que declara de necesidad publica a la continuacion de la ejecucion del sistema electrico de transporte masivo de Lima, y Callao, prorrogados mediante el Decreto Legislativo N° 974 y la Ley N° 29190, hasta el 31 de diciembre de 2014.","Ley Nº: 29673","LEY QUE PRORROGA LA VIGEN CIA DE BENEFICIOS TRIBUTARIOS ESTABLECIDOS POR LA LEY 28253, LEY QUE DECLARA DE NECESIDAD PuBLICA LA CONTINUACIoN DE LA EJECUCIoN DEL SISTEMA ELeCTRICO DE TRANSPORTE MASIVO DE LIMA Y CALLAO, PRORROGADOS MEDIANTE EL DECRETO LEGISLATIVO 974 Y LA LEY 29190; Y PRORROGA DISPOSICIONES DE LA LEY  29465","Publicado El Peruano",2011-02-04,"Economia  Banca  Finanzas e Inteligencia Financiera,Transportes y Comunicaciones","",NA,0,"2006-2011",-3
"9333","Grupo Parlamentario Nacionalista",2011-01-13,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4607,"Congreso","Grupo Parlamentario Nacionalista","EMP.AGRARIAS AZUCARERAS.L.29299/GARANTIZA PAGO ACREENCIAS DE..","Propone modificar los articulos 2° y 3° de la Ley N° 29299, Ley de ampliacion de la proteccion patrimonial y transferencia de participacion accionaria del Estado a las Empresas Agrarias Azucareras, garantiza el pago de acreencias laborales y obligaciones con terceros, a cargo de las empresas azucareras acogidas en esta  Ley; y articulo 2° de la Ley N° 29388, sobre plazo y forma de pago del precio de las acciones qque los trabajadores adquieran..","","","Dictamen",2011-01-03,"Economia  Banca  Finanzas e Inteligencia Financiera,Agraria","SI",6,0,"2006-2011",-1.42857142857143
"9340","",2011-01-10,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4600,"Gobiernos Locales","","CAJAMARCA:EXPROPIA PASAJE SAN ROQUE  DPTO....","Propone declarar de necesidad publica la apertura del tramo de pasaje San Roque, en el sector 10 del Barrio San Antonio, de la ciudad de Cajamarca, asi como la expropiacion de 171.41.24 m2 del inmueble ubicado entre los Jirones San Roque, Cinco Esquinas de la ciudad de Cajamarca.","","","Dictamen",2011-01-06,"Vivienda y Construccion","",NA,0,"2006-2011",-0.571428571428571
"9414","Multipartidario",2010-12-01,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4526,"Congreso","Grupo Parlamentario Nacionalista","TRASLADO INSCRIPCION VEHICULOS MENORES L.28325/REGULA EL..","Prorroga el plazo senalado en el parrafo 1.1, hasta el proximo 30 de abril de 2011; y modifica la Ley N° 28325, Ley que regula el traslado de las inscripciones de vehiculos menores y su acervo documentario de las Municipalidades a la SUNARP, sobre la responsabilidad administrativa por parte de los funcionarios o servidores de las municipalidades.","","","Orden del Dia",2010-02-12,"Descentralizacion  Regionalizacion  Gobiernos Locales y Modernizacion de la Gestion del Estado,Justicia y Derechos Humanos","SI",8,22,"2006-2011",-41.7142857142857
"9422","",2010-11-27,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4518,"Poder Ejecutivo","","VIAJE PRESIDENCIAL/MAR DEL PLATA,ARGENTINA","Propone autorizar al senor Presidente Constitucional de la Republica, para salir del territorio nacional los dias 3 y 4 de diciembre proximo, con el fin de viajar a Mar del Plata, Republica Argentina, donde se realizara la XX Cumbre Iberoamericana de Jefes de Estado y de Gobierno.","Resolucion Legislativa Nº: 29621","RESOLUCIoN LEGISLATIVA QUE AUTORIZA AL SEnOR PRESIDENTE DE LA REPuBLICA PARA SALIR DEL TERRITORIO NACIONAL LOS DiAS 3 Y 4 DE DICIEMBRE DE 2010","Publicado El Peruano",2010-02-12,"","",NA,0,"2006-2011",-41.1428571428571
"9433","Multipartidario",2010-11-24,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2010",4507,"Congreso","Multipartidario","UNIVERSITARIA L.23733/OTORGA GRADOS Y TITULOS ESCUELAS PUNO","Incorpora a la Escuela Superior de Formacion Artistica - Puno (ESFA-Puno); Escuela Superior de Formacion Artistica - Juliaca (ESFA-Juliaca); Escuela Superior de Formacion Artistica - Moho (ESFA-Moho) y la Escuela Superior de Formacion Artistica - Pilcuyo (ESFA-Pilcuyo), a la Ley N° 23733, Ley Universitaria.","","","En comision",2010-01-12,"Educacion  Ciencia  Tecnologia  Cultura  Patrimonio Cultural  Juventud y Deportes","NO",12,0,"2006-2011",-45.1428571428571
